sleeper_id,canonical_player_id,full_name,identity_join_method,position_model,team,profile_team,team_changed,market_adp,market_adp_key,sleeper_market_projection,fie_season_mean,fie_ppg,p10,p25,p50,p75,p90,confidence,projection_source,scoring_coverage,scoring_unsupported,raw_projected_stats_per_game,active_return_scoring,validated_return_targets,driver_contributions_ppg,fie_position_rank,market_position_rank,comparison_eligible,rank_edge,reason
7543,00-0036973,Travis Etienne,sleeper_id_to_canonical,RB,NO,JAX,False,44.6,adp_ppr,207.7,207.7,12.217647058823529,176.88012078339167,191.63891490611687,207.2071122179321,223.3958899711401,238.66691749866237,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},17.0,20.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
5892,00-0035685,David Montgomery,sleeper_id_to_canonical,RB,HOU,DET,False,49.0,adp_ppr,206.1,206.1,12.123529411764707,175.2082302406316,189.6249368796564,205.775673540066,222.17474376241324,237.64897007118344,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},19.0,21.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
12512,00-0040784,Quinshon Judkins,sleeper_id_to_canonical,RB,CLE,CLE,False,53.0,adp_ppr,196.0,196.0,11.529411764705882,165.88558689770022,179.45408002054054,195.7012603705609,211.89301384133063,226.53765317686177,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},23.0,22.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
12529,00-0040734,TreVeyon Henderson,sleeper_id_to_canonical,RB,NE,NE,False,53.5,adp_ppr,171.0,171.0,10.058823529411764,140.9622148705986,154.61572568614028,170.4482594581169,186.52655700379947,201.940813282424,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},25.0,23.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
6790,00-0036275,D'Andre Swift,sleeper_id_to_canonical,RB,CHI,CHI,False,55.0,adp_ppr,208.0,208.0,12.235294117647058,176.70322718971937,191.6062847253088,207.21813650121604,223.8794144498114,239.330207234712,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},15.0,24.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
12490,00-0040719,Bhayshul Tuten,sleeper_id_to_canonical,RB,JAX,JAX,False,62.5,adp_ppr,174.8,174.8,10.282352941176471,144.85882058338655,158.47902300188196,174.2614796090303,190.5962144470768,205.6223188187263,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},24.0,25.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
13286,00-0041512,Jadarian Price,unmatched,RB,SEA,,False,67.9,adp_ppr,170.0,170.0,10.0,140.8275923462084,153.76931540946464,169.3204775602886,185.6537139883497,200.5865836148579,62,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},27.0,26.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
8228,00-0037228,Jaylen Warren,sleeper_id_to_canonical,RB,PIT,PIT,False,71.9,adp_ppr,170.60000000000002,170.60000000000002,10.03529411764706,140.47764976302895,154.6951069163021,170.21917278604388,186.10715020706647,200.4979733765048,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},26.0,27.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
7594,00-0036555,Chuba Hubbard,sleeper_id_to_canonical,RB,CAR,CAR,False,77.0,adp_ppr,147.9,147.9,8.700000000000001,118.56580310094589,131.76582930202431,146.90456559546075,163.17330856242876,178.04600684485845,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},36.0,28.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
12489,00-0040730,RJ Harvey,sleeper_id_to_canonical,RB,DEN,DEN,False,79.5,adp_ppr,144.1,144.1,8.476470588235294,115.22548479842249,128.20318497139274,143.41170993508487,158.88926585766686,173.64208941148473,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},37.0,29.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
7611,00-0036875,Rhamondre Stevenson,sleeper_id_to_canonical,RB,NE,NE,False,81.6,adp_ppr,169.0,169.0,9.941176470588236,139.2084544424627,153.07350934462167,168.40860177563795,184.57782333890904,199.39716166427783,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},28.0,30.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
5967,00-0035261,Tony Pollard,sleeper_id_to_canonical,RB,TEN,TEN,False,83.7,adp_ppr,160.10000000000002,160.10000000000002,9.417647058823531,130.71073257085536,143.89480639277363,159.66026171895103,175.55678775695566,190.4051463504658,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},31.0,31.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
7021,00-0036139,Rico Dowdle,sleeper_id_to_canonical,RB,PIT,CAR,False,85.0,adp_ppr,161.1,161.1,9.476470588235294,131.28608440976805,145.0338019406956,160.272204303018,176.6124469094403,191.4148247643105,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},29.0,32.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
6806,00-0036158,J.K. Dobbins,sleeper_id_to_canonical,RB,DEN,DEN,False,94.9,adp_ppr,160.2,160.2,9.423529411764704,130.6212960050409,144.09515892987852,159.79972527060022,175.8757649335178,189.6460637851164,64,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},30.0,33.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
12534,00-0040236,Kyle Monangai,sleeper_id_to_canonical,RB,CHI,CHI,False,99.8,adp_ppr,154.60000000000002,154.60000000000002,9.094117647058823,125.29339738121548,138.43227923121552,153.76738469137624,169.63660431108715,185.1692021048685,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},33.0,34.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
